"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"12",130.607499614591,130.607499614591,134.601763799088,134.601763799088,134.601763799088,134.601763799088,134.601763799088,137.915981585626,137.915981585626,137.915981585626,137.915981585626,140.314883006271,142.537531897193,145.212448358769,145.212448358769,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413,146.872926259413
"13",123.546280963114,123.546280963114,127.10228055832,127.10228055832,133.027716700453,135.424777523847,139.867595718009,139.867595718009,143.5553083946,143.5553083946,143.5553083946,144.790738017531,145.465310581727,147.151707063429,149.855713576544,154.080430370988,154.080430370988,154.080430370988,157.254305705661,157.254305705661,157.254305705661,157.254305705661,157.254305705661,157.254305705661,157.631863986142,159.574128472479,159.574128472479,159.574128472479,159.574128472479,159.574128472479,159.574128472479,159.574128472479,159.574128472479,159.574128472479,159.574128472479,159.574128472479,159.574128472479,159.574128472479,159.574128472479,159.574128472479,159.574128472479,159.574128472479,159.574128472479,159.574128472479,159.800606766483,159.800606766483,159.800606766483,159.800606766483,159.800606766483,159.800606766483
"14",122.931082994211,123.453596543521,123.453596543521,128.507813866949,133.240091842366,134.596038609277,134.596038609277,140.090291924775,144.318380734185,144.318380734185,144.318380734185,144.318380734185,144.318380734185,144.318380734185,144.318380734185,146.83847162337,146.83847162337,146.83847162337,146.83847162337,146.83847162337,146.83847162337,146.83847162337,147.088784889784,147.088784889784,147.088784889784,147.088784889784,147.504876785446,147.949678656179,147.949678656179,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601,150.303513873601
"15",124.627551570535,126.593377653277,128.462866595713,128.462866595713,129.762695946964,142.882480846485,142.882480846485,142.882480846485,142.882480846485,142.882480846485,145.609505544417,145.915895468555,145.915895468555,145.915895468555,145.949512731982,145.949512731982,147.119122946402,149.70184441749,149.70184441749,149.70184441749,149.70184441749,149.70184441749,149.70184441749,149.70184441749,149.70184441749,151.299129553838,152.174268612405,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392,154.468135377392
"16",126.867237437982,126.867237437982,126.867237437982,126.867237437982,134.600944162579,134.600944162579,134.600944162579,134.600944162579,143.311475632014,143.311475632014,148.14350717701,148.14350717701,148.14350717701,148.14350717701,148.14350717701,148.14350717701,148.259852861753,148.259852861753,148.259852861753,148.259852861753,148.259852861753,151.670922126854,151.670922126854,151.670922126854,151.670922126854,151.670922126854,151.670922126854,151.670922126854,151.966703275219,151.966703275219,158.839693421032,158.839693421032,158.839693421032,158.839693421032,158.839693421032,159.551141132135,159.551141132135,159.551141132135,159.551141132135,159.744300716091,160.623554536607,160.623554536607,160.623554536607,160.623554536607,160.623554536607,160.623554536607,160.623554536607,160.623554536607,160.623554536607,162.958389288047
"17",135.666890319437,138.816405079793,138.816405079793,138.816405079793,138.816405079793,138.816405079793,141.817398061045,141.817398061045,146.520403600298,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,149.390832860954,150.187702801777,150.187702801777,150.187702801777,150.187702801777,150.187702801777,150.187702801777,150.187702801777,150.187702801777,150.187702801777,150.187702801777,150.187702801777,150.187702801777,150.187702801777,150.946417448809,150.946417448809,150.946417448809
"18",138.258166926214,138.258166926214,138.258166926214,138.258166926214,138.258166926214,138.258166926214,141.876564819599,141.899544387124,141.899544387124,146.323911410291,146.323911410291,150.521638542646,150.521638542646,150.521638542646,154.141017592046,154.141017592046,156.949780133087,156.949780133087,156.949780133087,156.949780133087,156.949780133087,156.949780133087,156.949780133087,156.949780133087,159.444997908082,159.444997908082,160.367819333682,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901,162.697201320901
"19",139.096802309621,139.096802309621,142.80049870722,144.022635354893,144.022635354893,144.022635354893,144.022635354893,144.022635354893,146.249033325119,146.249033325119,146.249033325119,146.249033325119,146.249033325119,146.249033325119,147.552744466346,147.552744466346,147.552744466346,147.552744466346,148.453213137807,148.453213137807,152.939384073019,152.939384073019,153.785389384953,153.785389384953,153.785389384953,153.785389384953,153.785389384953,157.644636323443,157.644636323443,158.900756083429,158.900756083429,158.900756083429,158.900756083429,158.900756083429,158.900756083429,158.900756083429,160.243821551558,160.243821551558,160.243821551558,160.243821551558,160.243821551558,160.707623888273,160.707623888273,160.707623888273,160.707623888273,160.707623888273,160.707623888273,160.707623888273,160.707623888273,160.707623888273
"20",132.977362991543,132.977362991543,132.977362991543,132.977362991543,134.656955598621,134.656955598621,140.216656940291,140.216656940291,140.216656940291,140.216656940291,140.216656940291,140.216656940291,140.216656940291,145.763022864703,145.763022864703,145.763022864703,145.763022864703,148.017981302692,148.017981302692,148.017981302692,148.434696724173,148.434696724173,149.403943447396,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811,151.232744621811
"21",128.603027200559,136.678146074526,136.678146074526,136.678146074526,138.963862848934,138.963862848934,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,154.326662592124,155.453197780298,155.453197780298,155.453197780298,155.453197780298,155.453197780298,155.453197780298,156.726916491752,156.726916491752,156.726916491752,156.726916491752,156.726916491752,156.726916491752,156.726916491752,156.726916491752,156.726916491752,158.062771814875,158.062771814875,158.062771814875,158.062771814875,158.062771814875
"22",131.927451414289,132.744036705699,132.744036705699,132.744036705699,132.744036705699,133.612692510709,133.612692510709,133.612692510709,134.869942340534,134.869942340534,137.962171097984,137.962171097984,148.765626705717,148.765626705717,148.765626705717,148.765626705717,154.95763230673,158.747913198313,158.747913198313,158.747913198313,158.747913198313,158.747913198313,158.747913198313,158.747913198313,158.747913198313,158.747913198313,158.747913198313,161.203576074447,161.203576074447,161.203576074447,161.203576074447,161.203576074447,161.203576074447,161.203576074447,161.203576074447,161.203576074447,161.203576074447,161.203576074447,161.203576074447,161.203576074447,161.203576074447,161.203576074447,161.203576074447,161.203576074447,161.203576074447,161.267391402274,161.267391402274,161.267391402274,163.476603262592,163.476603262592
